No,cBB,cmd,d1,d2,d3,gBB,iJp,tJpV,tUB,tUS,timestamp,error
0,0,1003,2,2,1,695132982,FALSE,81582841,1806,2193,1621679478,
1,0,1003,6,5,6,929479992,FALSE,84371281,1447,2602,1621679549,
2,0,1003,6,4,4,949162009,FALSE,87218768,2348,1611,1621679620,
3,0,1003,3,3,5,698148642,FALSE,89313214,2232,1613,1621679691,
4,0,1003,6,3,5,681191558,FALSE,91356789,2027,1515,1621679763,
5,0,1003,5,4,4,772519057,FALSE,93674347,2065,2243,1621679833,
6,0,1003,2,5,3,753535973,FALSE,95934955,2414,1402,1621679904,
7,0,1003,3,6,4,964560495,FALSE,98828637,1876,1998,1621679976,
8,0,1003,6,6,3,710266372,FALSE,100959436,2216,1770,1621680046,
9,0,1003,1,1,3,809102063,FALSE,103386742,2614,1477,1621680118,
10,0,1003,1,6,1,882572018,FALSE,106034459,1988,1922,1621680188,
11,0,1003,5,4,1,757595151,FALSE,108307245,2115,1993,1621680260,
12,0,1003,1,3,6,686538063,FALSE,110366859,2119,1893,1621680331,
13,0,1003,3,6,1,717848134,FALSE,112520404,1843,2159,1621680402,
14,0,1003,3,4,4,631229184,FALSE,114414092,2159,1898,1621680473,
15,0,1003,5,3,6,751385709,FALSE,116668249,2505,1439,1621680544,
16,0,1003,4,6,3,774140725,FALSE,118990672,2373,1971,1621680615,
17,0,1003,5,6,4,821792374,FALSE,121456049,2772,1126,1621680686,
18,0,1003,5,3,1,726750739,FALSE,123636301,2880,1341,1621680757,
19,0,1003,6,2,1,719949037,FALSE,125796149,1885,2015,1621680828,
20,0,1003,6,4,6,768644994,FALSE,128102085,1874,2447,1621680899,
21,0,1003,1,2,2,690821768,FALSE,130174551,2554,1687,1621680970,
22,0,1003,2,2,6,782975451,FALSE,132523477,2060,2189,1621681041,
23,0,1003,6,3,5,659907147,FALSE,134503198,2376,1799,1621681112,
24,0,1003,5,5,6,759291225,FALSE,136781073,2158,2232,1621681184,
25,0,1003,3,5,4,812368144,FALSE,139218177,2306,1974,1621681254,
26,0,1003,3,6,3,686687034,FALSE,141278238,2019,2131,1621681326,
27,0,1003,2,5,3,658888990,FALSE,143254906,1942,2290,1621681397,
28,0,1003,6,5,5,693354282,FALSE,145334969,1786,2346,1621681468,
29,0,1003,2,5,3,716431945,FALSE,147484264,2087,2060,1621681539,
30,0,1003,3,3,2,691132826,FALSE,149557663,2325,1902,1621681610,
31,0,1003,1,5,1,737435539,FALSE,151769970,2114,2098,1621681681,
32,0,1003,5,2,4,775298195,FALSE,154095865,1960,2306,1621681752,
33,0,1003,6,4,4,811102567,FALSE,156529173,2443,1645,1621681823,
34,0,1003,1,6,1,978914469,FALSE,159465916,2016,2115,1621681894,
35,0,1003,1,2,1,877542924,FALSE,162098545,1868,2303,1621681966,
36,0,1003,1,5,2,769734662,FALSE,164407749,2070,2311,1621682036,
